scene,rank,frame,score,nonwhite,nonblack,contrast,saturation,balance,path
3dfront_0033_01,1,0091,2.798194,1.000000,0.999687,0.188062,0.090649,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0091.jpg
3dfront_0033_01,2,0156,2.797442,1.000000,1.000000,0.205640,0.063342,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0156.jpg
3dfront_0033_01,3,0078,2.796214,1.000000,0.997083,0.198365,0.072721,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0078.jpg
3dfront_0033_01,4,0111,2.796158,1.000000,0.999583,0.195791,0.076510,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0111.jpg
3dfront_0033_01,5,0110,2.796045,1.000000,1.000000,0.202043,0.066991,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0110.jpg
3dfront_0033_01,6,0143,2.796040,1.000000,0.996771,0.192766,0.080900,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0143.jpg
3dfront_0033_01,7,0150,2.795243,1.000000,0.999792,0.199343,0.070039,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0150.jpg
3dfront_0033_01,8,0186,2.795192,1.000000,0.987500,0.192141,0.080778,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0186.jpg
3dfront_0033_01,9,0054,2.794644,1.000000,0.998385,0.193319,0.078325,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0054.jpg
3dfront_0033_01,10,0144,2.793529,1.000000,0.983073,0.191461,0.079721,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0144.jpg
3dfront_0033_01,11,0178,2.792786,1.000000,0.999896,0.193255,0.076101,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0178.jpg
3dfront_0033_01,12,0059,2.792755,1.000000,0.999687,0.191743,0.078329,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0059.jpg
3dfront_0033_01,13,0052,2.792091,1.000000,0.999583,0.190553,0.079284,1.000000,figures_src/fig1_render_view_assets/nerf_rpn_front3d_nerf_data/front3d_nerf_data/3dfront_0033_01/train/images/0052.jpg
