scene,baseline_top3_mean_iou,baseline_top3_r25,baseline_top3_r50,baseline_top5_mean_iou,baseline_top5_r25,baseline_top5_r50,baseline_top10_mean_iou,baseline_top10_r25,baseline_top10_r50,baseline_top1_score,baseline_gt_count,ours_top3_mean_iou,ours_top3_r25,ours_top3_r50,ours_top5_mean_iou,ours_top5_r25,ours_top5_r50,ours_top10_mean_iou,ours_top10_r25,ours_top10_r50,ours_top1_score,ours_gt_count,delta_top3_mean_iou,delta_top3_r50,delta_top3_r25,delta_top5_mean_iou,delta_top5_r50,delta_top5_r25,delta_top10_mean_iou,delta_top10_r50,delta_top10_r25
3dfront_1006_02,0.14444116701849039,0.2,0.2,0.2567230469222169,0.4,0.4,0.4346288725177905,0.8,0.6,0.8126500248908997,5.0,0.335516506275186,0.6,0.6,0.49671139287344895,1.0,0.6,0.49671139287344895,1.0,0.6,0.7763428092002869,5.0,0.1910753392566956,0.39999999999999997,0.39999999999999997,0.23998834595123203,0.19999999999999996,0.6,0.06208252035565848,0.0,0.19999999999999996
3dfront_0102_00,0.13576647655427695,0.2857142857142857,0.0,0.13942836435191477,0.2857142857142857,0.0,0.21901770678660243,0.42857142857142855,0.14285714285714285,0.6101067662239075,7.0,0.17744442692653423,0.2857142857142857,0.14285714285714285,0.2027460497037768,0.2857142857142857,0.14285714285714285,0.24904384038436425,0.42857142857142855,0.14285714285714285,0.7634860873222351,7.0,0.04167795037225727,0.14285714285714285,0.0,0.06331768535186202,0.14285714285714285,0.0,0.030026133597761823,0.0,0.0
3dfront_1014_02,0.501843752001099,0.75,0.5,0.6268383199422166,1.0,0.5,0.6268383199422166,1.0,0.5,0.8142013549804688,4.0,0.5336046860463294,0.75,0.75,0.6687374719874112,1.0,1.0,0.6687374719874112,1.0,1.0,0.742423951625824,4.0,0.03176093404523039,0.25,0.0,0.041899152045194565,0.5,0.0,0.041899152045194565,0.5,0.0
3dfront_0143_00,0.25934270142382515,0.375,0.375,0.3802881851097898,0.625,0.5,0.5163981089393255,0.875,0.625,0.7703768014907837,8.0,0.28877078920130794,0.375,0.375,0.4432470497228223,0.625,0.5,0.6275091888286897,1.0,0.75,0.7230091094970703,8.0,0.029428087777482792,0.0,0.0,0.06295886461303252,0.0,0.0,0.1111110798893642,0.125,0.125
3dfront_0072_00,0.19649829065155658,0.2727272727272727,0.2727272727272727,0.3228389949200142,0.45454545454545453,0.45454545454545453,0.5066623614507754,0.7272727272727273,0.6363636363636364,0.7864282131195068,11.0,0.20299341532366955,0.2727272727272727,0.2727272727272727,0.3296563220415477,0.45454545454545453,0.45454545454545453,0.5538540830665697,0.8181818181818182,0.7272727272727273,0.8529990911483765,11.0,0.006495124672112967,0.0,0.0,0.00681732712153349,0.0,0.0,0.047191721615794324,0.09090909090909094,0.09090909090909094
3dfront_0091_00,0.25749307011441785,0.3333333333333333,0.3333333333333333,0.3733887994233994,0.5555555555555556,0.4444444444444444,0.4937391040493721,0.7777777777777778,0.5555555555555556,0.6877647042274475,9.0,0.2634060040784493,0.3333333333333333,0.3333333333333333,0.3634344982824421,0.5555555555555556,0.4444444444444444,0.5672053935352708,0.8888888888888888,0.6666666666666666,0.7759348154067993,9.0,0.005912933964031419,0.0,0.0,-0.0099543011409573,0.0,0.0,0.07346628948589867,0.11111111111111105,0.11111111111111105
3dfront_0019_00,0.2985410072291535,0.42857142857142855,0.42857142857142855,0.39006307259603795,0.7142857142857143,0.42857142857142855,0.5922835061655761,1.0,0.7142857142857143,0.7524508237838745,7.0,0.30007914794516527,0.42857142857142855,0.42857142857142855,0.4045210316513205,0.7142857142857143,0.42857142857142855,0.6064969618350423,1.0,0.7142857142857143,0.7736165523529053,7.0,0.001538140716011771,0.0,0.0,0.014457959055282521,0.0,0.0,0.01421345566946619,0.0,0.0
3dfront_0044_00,0.1772847051364271,0.25,0.25,0.28962542420348775,0.4166666666666667,0.4166666666666667,0.5611902509319576,0.8333333333333334,0.75,0.7856141328811646,12.0,0.1784870753924707,0.25,0.25,0.3040636566596879,0.4166666666666667,0.4166666666666667,0.5133829039261929,0.75,0.75,0.7726245522499084,12.0,0.0012023702560435834,0.0,0.0,0.014438232456200129,0.0,0.0,-0.04780734700576472,0.0,-0.08333333333333337
3dfront_0063_00,0.1862020821810732,0.3,0.3,0.28900265138580616,0.5,0.4,0.3468023711700286,0.7,0.4,0.6718101501464844,10.0,0.18586363205716078,0.3,0.2,0.2993771433027581,0.5,0.3,0.42233725580960935,0.8,0.4,0.6196977496147156,10.0,-0.000338450123912426,-0.09999999999999998,0.0,0.010374491916951945,-0.10000000000000003,0.0,0.07553488463958075,0.0,0.10000000000000009
3dfront_0004_00,0.43655369458271226,0.5,0.5,0.6761320670106746,0.8333333333333334,0.8333333333333334,0.7344767562503688,1.0,0.8333333333333334,0.834287166595459,6.0,0.42796972317397436,0.5,0.5,0.7056639895905458,0.8333333333333334,0.8333333333333334,0.7241383192937697,0.8333333333333334,0.8333333333333334,0.8587287664413452,6.0,-0.0085839714087379,0.0,0.0,0.02953192257987114,0.0,0.0,-0.010338436956599084,0.0,-0.16666666666666663
