scene,baseline_top3_mean_iou,baseline_top3_r25,baseline_top3_r50,baseline_top5_mean_iou,baseline_top5_r25,baseline_top5_r50,baseline_top10_mean_iou,baseline_top10_r25,baseline_top10_r50,baseline_top1_score,baseline_gt_count,ours_top3_mean_iou,ours_top3_r25,ours_top3_r50,ours_top5_mean_iou,ours_top5_r25,ours_top5_r50,ours_top10_mean_iou,ours_top10_r25,ours_top10_r50,ours_top1_score,ours_gt_count,delta_top3_mean_iou,delta_top3_r50,delta_top3_r25,delta_top5_mean_iou,delta_top5_r50,delta_top5_r25,delta_top10_mean_iou,delta_top10_r50,delta_top10_r25
scene0151_00,0.1343040659900415,0.25,0.0,0.13532537561389285,0.25,0.0,0.3834016414872936,1.0,0.25,0.5523902177810669,4.0,0.3534408598236374,0.75,0.5,0.4240497383877806,1.0,0.5,0.43475405828355035,1.0,0.5,0.6637498140335083,4.0,0.21913679383359588,0.5,0.5,0.28872436277388774,0.5,0.75,0.05135241679625674,0.25,0.0
scene0538_00,0.20368624855809023,0.3333333333333333,0.3333333333333333,0.3307286091905829,0.5,0.5,0.4014611148866192,0.6666666666666666,0.5,0.782160758972168,6.0,0.3355714302462049,0.5,0.5,0.4153308997476586,0.6666666666666666,0.5,0.4153308997476586,0.6666666666666666,0.5,0.7915855050086975,6.0,0.13188518168811467,0.16666666666666669,0.16666666666666669,0.08460229055707569,0.0,0.16666666666666663,0.013869784861039403,0.0,0.0
scene0699_00,0.10390713961076394,0.25,0.08333333333333333,0.19145521274590052,0.4166666666666667,0.16666666666666666,0.3263134296060547,0.6666666666666666,0.3333333333333333,0.6216481924057007,12.0,0.17538321431399959,0.3333333333333333,0.25,0.2071237897964453,0.4166666666666667,0.25,0.3540902979964982,0.75,0.25,0.6674555540084839,12.0,0.07147607470323565,0.16666666666666669,0.08333333333333331,0.01566857705054478,0.08333333333333334,0.0,0.02777686839044352,-0.08333333333333331,0.08333333333333337
scene0677_00,0.17527492684232515,0.3333333333333333,0.2222222222222222,0.33253476274696686,0.5555555555555556,0.4444444444444444,0.5290403131220015,0.8888888888888888,0.7777777777777778,0.8217415809631348,9.0,0.2191295216262068,0.3333333333333333,0.3333333333333333,0.37831476089411714,0.5555555555555556,0.5555555555555556,0.5098144882311083,0.8888888888888888,0.6666666666666666,0.8246647715568542,9.0,0.04385459478388165,0.1111111111111111,0.0,0.04577999814715028,0.11111111111111116,0.0,-0.019225824890893195,-0.11111111111111116,0.0
scene0002_00,0.07142279820381912,0.09090909090909091,0.09090909090909091,0.0862580127817149,0.09090909090909091,0.09090909090909091,0.14721400320038594,0.22727272727272727,0.09090909090909091,0.6818788051605225,22.0,0.10974926741260999,0.13636363636363635,0.13636363636363635,0.11707665331301022,0.13636363636363635,0.13636363636363635,0.15593937830238946,0.18181818181818182,0.18181818181818182,0.7791638374328613,22.0,0.03832646920879086,0.04545454545454544,0.04545454545454544,0.03081864053129532,0.04545454545454544,0.04545454545454544,0.008725375102003524,0.09090909090909091,-0.04545454545454544
scene0166_00,0.07969869520488244,0.14285714285714285,0.09523809523809523,0.12373551722282781,0.23809523809523808,0.14285714285714285,0.2194334721512235,0.42857142857142855,0.23809523809523808,0.6790928840637207,21.0,0.09591493124372291,0.14285714285714285,0.09523809523809523,0.15356157374917948,0.23809523809523808,0.19047619047619047,0.2635690832641072,0.42857142857142855,0.2857142857142857,0.7086290121078491,21.0,0.016216236038840467,0.0,0.0,0.02982605652635166,0.047619047619047616,0.0,0.04413561111288372,0.047619047619047616,0.0
scene0487_00,0.0888789024755557,0.13333333333333333,0.13333333333333333,0.17632751139614997,0.3333333333333333,0.2,0.2830128584551045,0.4666666666666667,0.26666666666666666,0.8193063735961914,15.0,0.10001770959289603,0.2,0.06666666666666667,0.19460313549170988,0.3333333333333333,0.2,0.2758171643841659,0.4666666666666667,0.3333333333333333,0.7310457229614258,15.0,0.011138807117340332,-0.06666666666666667,0.06666666666666668,0.01827562409555991,0.0,0.0,-0.007195694070938563,0.06666666666666665,0.0
scene0188_00,0.08252792445807501,0.11764705882352941,0.058823529411764705,0.1271357936544078,0.17647058823529413,0.058823529411764705,0.25448166155206003,0.47058823529411764,0.11764705882352941,0.750637412071228,17.0,0.08193450263284112,0.17647058823529413,0.0,0.12878739006094678,0.29411764705882354,0.0,0.2739018548234894,0.5882352941176471,0.11764705882352941,0.8716449737548828,17.0,-0.0005934218252338919,-0.058823529411764705,0.05882352941176472,0.0016515964065389743,-0.058823529411764705,0.11764705882352941,0.019420193271429353,0.0,0.11764705882352944
scene0401_00,0.09121041426418236,0.14285714285714285,0.14285714285714285,0.14664996732403246,0.23809523809523808,0.19047619047619047,0.2751459650678291,0.47619047619047616,0.3333333333333333,0.8209447264671326,21.0,0.08862623832617114,0.14285714285714285,0.09523809523809523,0.1489630190955665,0.23809523809523808,0.19047619047619047,0.28361514081687583,0.47619047619047616,0.3333333333333333,0.8042902946472168,21.0,-0.0025841759380112184,-0.047619047619047616,0.0,0.0023130517715340415,0.0,0.0,0.008469175749046709,0.0,0.0
scene0000_00,0.09676550870710002,0.14285714285714285,0.14285714285714285,0.11581425996570952,0.14285714285714285,0.14285714285714285,0.18465419125171084,0.35714285714285715,0.14285714285714285,0.7093524932861328,14.0,0.09202590750493995,0.14285714285714285,0.14285714285714285,0.12879241489778867,0.21428571428571427,0.14285714285714285,0.1879890987219262,0.35714285714285715,0.14285714285714285,0.7589291334152222,14.0,-0.0047396012021600625,0.0,0.0,0.012978154932079156,0.0,0.07142857142857142,0.0033349074702153647,0.0,0.0
scene0220_00,0.13046296213952796,0.125,0.125,0.1311302199598404,0.125,0.125,0.20173392091650968,0.25,0.25,0.522036612033844,8.0,0.12048608179384712,0.25,0.0,0.12048608179384712,0.25,0.0,0.2158730723705665,0.375,0.0,0.5147386193275452,8.0,-0.009976880345680839,-0.125,0.125,-0.010644138165993272,-0.125,0.125,0.014139151454056809,-0.25,0.125
scene0054_00,0.019970360387276974,0.0,0.0,0.048244339606964184,0.058823529411764705,0.0,0.10075425747517526,0.23529411764705882,0.0,0.564246654510498,17.0,0.006831061813019871,0.0,0.0,0.04254493749243894,0.058823529411764705,0.0,0.1295486571866272,0.23529411764705882,0.0,0.6656200289726257,17.0,-0.013139298574257103,0.0,0.0,-0.005699402114525243,0.0,0.0,0.028794399711451937,0.0,0.0
