arm,stage,target,balanced_ap,auroc,acc_at_logit0,n,pos_frac,train_n,train_pos_frac,val_n,val_pos_frac
scratch,0,objectness,0.7814124634928054,0.7783805760499205,0.7166101779706592,79957,0.4877246618270874,12288,0.5,79957,0.4877246618270874
scratch,0,occupancy,0.9271677687841766,0.9143877130746841,0.826513671875,81920,0.5,12288,0.5,81920,0.5
scratch,0,shell,0.6597756806878777,0.6980509775876999,0.64459228515625,81920,0.5,12288,0.5,81920,0.5
scratch,1,objectness,0.5849231186891451,0.7814241789115965,0.7508405424804503,52942,0.22632314264774323,11792,0.4789687991142273,52942,0.22632314264774323
scratch,1,occupancy,0.9421312701607605,0.9096591909541842,0.825574410572158,66590,0.5927316546440125,12288,0.5,66590,0.5927316546440125
scratch,1,shell,0.8273479130264165,0.8241879856823322,0.7651960214053047,68768,0.5694800019264221,12288,0.5,68768,0.5694800019264221
scratch,2,objectness,0.5676567618971701,0.8274126496277862,0.8861111111111111,10800,0.14694444835186005,6022,0.17535702884197235,10800,0.14694444835186005
scratch,2,occupancy,0.9832384502349444,0.9221962155802003,0.8927777777777778,10800,0.8364814519882202,6117,0.8242602348327637,10800,0.8364814519882202
scratch,2,shell,0.9720161392422554,0.9081915082373745,0.8688888888888889,10800,0.8075000047683716,6153,0.802535355091095,10800,0.8075000047683716
joint_e300,0,objectness,0.8016760545085113,0.8059234768610005,0.7441624873369436,79957,0.4877246618270874,12288,0.5,79957,0.4877246618270874
joint_e300,0,occupancy,0.9904843679127955,0.9886038464307785,0.9499267578125,81920,0.5,12288,0.5,81920,0.5
joint_e300,0,shell,0.9425172886323416,0.9416174423694611,0.86683349609375,81920,0.5,12288,0.5,81920,0.5
joint_e300,1,objectness,0.5890422257698001,0.808357250230815,0.809319632805712,52942,0.22632314264774323,11792,0.4789687991142273,52942,0.22632314264774323
joint_e300,1,occupancy,0.9880562531729409,0.9786648068470658,0.9329028382640036,66590,0.5927316546440125,12288,0.5,66590,0.5927316546440125
joint_e300,1,shell,0.9809761619288454,0.9726691259506053,0.9151785714285714,68768,0.5694800019264221,12288,0.5,68768,0.5694800019264221
joint_e300,2,objectness,0.49319798023097927,0.8249294458099432,0.8669444444444444,10800,0.14694444835186005,6022,0.17535702884197235,10800,0.14694444835186005
joint_e300,2,occupancy,0.9952868892214574,0.9752683394880947,0.9299074074074074,10800,0.8364814519882202,6117,0.8242602348327637,10800,0.8364814519882202
joint_e300,2,shell,0.9887411887176634,0.9631668131840131,0.9199074074074074,10800,0.8075000047683716,6153,0.802535355091095,10800,0.8075000047683716
cosine_e300,0,objectness,0.8029066594179413,0.8059789248361653,0.7463886839176057,79957,0.4877246618270874,12288,0.5,79957,0.4877246618270874
cosine_e300,0,occupancy,0.9939378452015848,0.9927285921573639,0.96292724609375,81920,0.5,12288,0.5,81920,0.5
cosine_e300,0,shell,0.9619750658462456,0.9610632395744324,0.89466552734375,81920,0.5,12288,0.5,81920,0.5
cosine_e300,1,objectness,0.609724543127442,0.8220803169272137,0.7896377167466284,52942,0.22632314264774323,11792,0.4789687991142273,52942,0.22632314264774323
cosine_e300,1,occupancy,0.993029730056485,0.9881455689059986,0.9502477849526956,66590,0.5927316546440125,12288,0.5,66590,0.5927316546440125
cosine_e300,1,shell,0.9866185094692842,0.980934077330532,0.9271463471382038,68768,0.5694800019264221,12288,0.5,68768,0.5694800019264221
cosine_e300,2,objectness,0.5254058347680666,0.8360572520501461,0.8413888888888889,10800,0.14694444835186005,6022,0.17535702884197235,10800,0.14694444835186005
cosine_e300,2,occupancy,0.9952271975504663,0.974830644819583,0.932037037037037,10800,0.8364814519882202,6117,0.8242602348327637,10800,0.8364814519882202
cosine_e300,2,shell,0.9915363166663765,0.9684669189313152,0.9215740740740741,10800,0.8075000047683716,6153,0.802535355091095,10800,0.8075000047683716
linear_e300,0,objectness,0.8074051819740081,0.81437575714458,0.7476643695986592,79957,0.4877246618270874,12288,0.5,79957,0.4877246618270874
linear_e300,0,occupancy,0.9919882293211056,0.9904078930616379,0.9553955078125,81920,0.5,12288,0.5,81920,0.5
linear_e300,0,shell,0.9553641006579092,0.9545394176244736,0.88509521484375,81920,0.5,12288,0.5,81920,0.5
linear_e300,1,objectness,0.5819115256417446,0.8062097927979208,0.7761134826791584,52942,0.22632314264774323,11792,0.4789687991142273,52942,0.22632314264774323
linear_e300,1,occupancy,0.9910799080617042,0.9843760140818649,0.9451569304700406,66590,0.5927316546440125,12288,0.5,66590,0.5927316546440125
linear_e300,1,shell,0.9842116037389976,0.9773495820324399,0.9213151465798045,68768,0.5694800019264221,12288,0.5,68768,0.5694800019264221
linear_e300,2,objectness,0.5201971980322754,0.8190342391039319,0.8381481481481482,10800,0.14694444835186005,6022,0.17535702884197235,10800,0.14694444835186005
linear_e300,2,occupancy,0.993758900272649,0.9669990254508513,0.9193518518518519,10800,0.8364814519882202,6117,0.8242602348327637,10800,0.8364814519882202
linear_e300,2,shell,0.9942537038504221,0.9769739151690763,0.927037037037037,10800,0.8075000047683716,6153,0.802535355091095,10800,0.8075000047683716
w05_e300,0,objectness,0.8080211558643283,0.8133776660454249,0.7500156334029541,79957,0.4877246618270874,12288,0.5,79957,0.4877246618270874
w05_e300,0,occupancy,0.9884264590693542,0.9862516063451767,0.94197998046875,81920,0.5,12288,0.5,81920,0.5
w05_e300,0,shell,0.9425597889974735,0.9423924773931504,0.865380859375,81920,0.5,12288,0.5,81920,0.5
w05_e300,1,objectness,0.5778691379335558,0.7961560423317268,0.7010502058856862,52942,0.22632314264774323,11792,0.4789687991142273,52942,0.22632314264774323
w05_e300,1,occupancy,0.982579476614003,0.9684918673530474,0.9169244631326025,66590,0.5927316546440125,12288,0.5,66590,0.5927316546440125
w05_e300,1,shell,0.9729117720026068,0.9621130396113239,0.9019020474639368,68768,0.5694800019264221,12288,0.5,68768,0.5694800019264221
w05_e300,2,objectness,0.4975438259819735,0.8205104003951568,0.8547222222222223,10800,0.14694444835186005,6022,0.17535702884197235,10800,0.14694444835186005
w05_e300,2,occupancy,0.9952509778515479,0.9751567063498132,0.9346296296296296,10800,0.8364814519882202,6117,0.8242602348327637,10800,0.8364814519882202
w05_e300,2,shell,0.990944882460914,0.9739086057168845,0.9330555555555555,10800,0.8075000047683716,6153,0.802535355091095,10800,0.8075000047683716
occupancy_only_e300,0,objectness,0.6769924260002684,0.6702003882610361,0.6286629063121427,79957,0.4877246618270874,12288,0.5,79957,0.4877246618270874
occupancy_only_e300,0,occupancy,0.8706211643823671,0.8464787691831589,0.73800048828125,81920,0.5,12288,0.5,81920,0.5
occupancy_only_e300,0,shell,0.5768954121723817,0.6198856770992279,0.5841796875,81920,0.5,12288,0.5,81920,0.5
occupancy_only_e300,1,objectness,0.2993621955825395,0.6282164905887477,0.7205054588039742,52942,0.22632314264774323,11792,0.4789687991142273,52942,0.22632314264774323
occupancy_only_e300,1,occupancy,0.7202043065581684,0.6725125464020693,0.6187265355158432,66590,0.5927316546440125,12288,0.5,66590,0.5927316546440125
occupancy_only_e300,1,shell,0.6620907867766604,0.6316040937047479,0.6046707771056306,68768,0.5694800019264221,12288,0.5,68768,0.5694800019264221
occupancy_only_e300,2,objectness,0.1181264594169876,0.4206882537900371,0.8530555555555556,10800,0.14694444835186005,6022,0.17535702884197235,10800,0.14694444835186005
occupancy_only_e300,2,occupancy,0.7868209502592933,0.37111687795269965,0.8364814814814815,10800,0.8364814519882202,6117,0.8242602348327637,10800,0.8364814519882202
occupancy_only_e300,2,shell,0.8782388557766934,0.6465279084244799,0.41824074074074075,10800,0.8075000047683716,6153,0.802535355091095,10800,0.8075000047683716
shuffle_e300,0,objectness,0.7552546868282027,0.749493341685338,0.6952111760071038,79957,0.4877246618270874,12288,0.5,79957,0.4877246618270874
shuffle_e300,0,occupancy,0.972917752607487,0.967847756743431,0.9029296875,81920,0.5,12288,0.5,81920,0.5
shuffle_e300,0,shell,0.7866275436187843,0.8172744625806808,0.7453369140625,81920,0.5,12288,0.5,81920,0.5
shuffle_e300,1,objectness,0.5169498819535522,0.764878040123336,0.7250576102149522,52942,0.22632314264774323,11792,0.4789687991142273,52942,0.22632314264774323
shuffle_e300,1,occupancy,0.9733811488458228,0.9554781384315634,0.8847124192821745,66590,0.5927316546440125,12288,0.5,66590,0.5927316546440125
shuffle_e300,1,shell,0.923888858238264,0.9087800485495732,0.828495812005584,68768,0.5694800019264221,12288,0.5,68768,0.5694800019264221
shuffle_e300,2,objectness,0.3458904181455808,0.7440845997795915,0.8423148148148148,10800,0.14694444835186005,6022,0.17535702884197235,10800,0.14694444835186005
shuffle_e300,2,occupancy,0.9756324368947951,0.8991366703012729,0.8656481481481482,10800,0.8364814519882202,6117,0.8242602348327637,10800,0.8364814519882202
shuffle_e300,2,shell,0.9628066511430999,0.8812701523399837,0.8729629629629629,10800,0.8075000047683716,6153,0.802535355091095,10800,0.8075000047683716
