scene,path,n_voxels,alpha_mean,alpha_std,alpha_p50,alpha_p90,alpha_p95,alpha_p99,alpha_hist_entropy_64,occ_frac_gt_0p001,occ_entropy_gt_0p001,occ_frac_gt_0p01,occ_entropy_gt_0p01,occ_frac_gt_0p05,occ_entropy_gt_0p05,occ_frac_gt_0p1,occ_entropy_gt_0p1,occ_frac_gt_0p5,occ_entropy_gt_0p5
3dfront_0000_00,dataset/finetune/front3d_rpn_data/features/3dfront_0000_00.npz,3548160,0.07496406883001328,0.17220279574394226,0.0,0.2512449622154236,0.4588657021522522,0.8895296907424939,2.558192038069243,0.3643107977092352,0.9462033947267916,0.3321225649350649,0.9170803041674569,0.26475778995310245,0.8338414054560972,0.19691445707070707,0.7157139193120039,0.043947849025974026,0.2601089531836336
3dfront_0000_01,dataset/finetune/front3d_rpn_data/features/3dfront_0000_01.npz,2620800,0.09817718714475632,0.17584693431854248,3.159046173095703e-06,0.29213134646415717,0.4673342823982234,0.9011940968036651,3.238110090721381,0.4722309981684982,0.9977738800964118,0.45170787545787544,0.993260395942874,0.404541742979243,0.9735454228661167,0.3077106227106227,0.8905130662814238,0.04470123626373626,0.2634467302043417
3dfront_0001_00,dataset/finetune/front3d_rpn_data/features/3dfront_0001_00.npz,2553600,0.09018310904502869,0.20791056752204895,0.0,0.3295904159545899,0.6100619941949843,0.9845872962474813,2.4227850620107363,0.29374451754385966,0.8735092888545457,0.28614818295739347,0.8636934842760804,0.2573668546365915,0.8227468679769665,0.21003955200501254,0.7415583353366375,0.06534578634085213,0.3483099227737078
3dfront_0003_00,dataset/finetune/front3d_rpn_data/features/3dfront_0003_00.npz,1666560,0.06531714648008347,0.1677662879228592,0.0,0.18674194812774658,0.40118994116783135,0.9455503892898554,2.3469567393855355,0.309325196812596,0.8923929778157778,0.30204313076036865,0.8837740863480783,0.2467969950076805,0.8061618992209891,0.16133052515360982,0.6374831128913387,0.03893049155145929,0.2373668596303461
3dfront_0003_01,dataset/finetune/front3d_rpn_data/features/3dfront_0003_01.npz,3672000,0.1022024154663086,0.2242237776517868,0.0,0.3346308887004853,0.699056750535964,0.9999970197677612,2.716466499308358,0.3492726034858388,0.9334167504043818,0.34461873638344226,0.9291700919160832,0.3129809368191721,0.8965845234772735,0.23592864923747275,0.7882039557668943,0.07082380174291938,0.3689904247204884
3dfront_0003_02,dataset/finetune/front3d_rpn_data/features/3dfront_0003_02.npz,3918720,0.10063127428293228,0.2284841537475586,0.0,0.37589585185050967,0.715658324956893,0.9997611528635025,2.4844613802453503,0.3037910338069574,0.885875780632573,0.296411583374163,0.8768601129371301,0.2653639453699167,0.8347332427398589,0.21653116323697533,0.7537827345805564,0.07725762493875551,0.3924417702109367
3dfront_0004_00,dataset/finetune/front3d_rpn_data/features/3dfront_0004_00.npz,2371200,0.10852700471878052,0.19883665442466736,0.0,0.3394797801971438,0.57431865632534,0.9516335797309874,3.2128600733125126,0.4430204116059379,0.9906116980509289,0.4310361842105263,0.9862332165599585,0.39643007759784077,0.9688239807443804,0.3124886133603239,0.896025279756475,0.061769146423751684,0.33442810170657167
3dfront_0005_00,dataset/finetune/front3d_rpn_data/features/3dfront_0005_00.npz,2662560,0.09659234434366226,0.22194772958755493,0.0,0.3501179158687595,0.6752354174852362,0.9998191243410111,2.4762874662062746,0.3079123099573343,0.8907488624898648,0.2982528093263626,0.8791446490119671,0.26443310197704467,0.8333625718769828,0.2119392614626525,0.7451732518634752,0.07160101556396851,0.37187012259810553
3dfront_0005_01,dataset/finetune/front3d_rpn_data/features/3dfront_0005_01.npz,3424960,0.09018226712942123,0.19792482256889343,0.0,0.30794677734375014,0.5562955081462856,0.9752750670909882,2.6687194055873507,0.35110512239559,0.9350511528281686,0.33431456133794263,0.9192739382515285,0.28953155657292345,0.8681153579632565,0.226964110529758,0.7726814093695233,0.05780534663178548,0.318670646606171
3dfront_0005_02,dataset/finetune/front3d_rpn_data/features/3dfront_0005_02.npz,1808000,0.0971728190779686,0.20983143150806427,0.0,0.34026795625686684,0.6237683027982706,0.9878091394901276,2.8425501794350554,0.40914159292035396,0.9760475290885893,0.37529480088495576,0.954650993582625,0.2936321902654867,0.8733670804044744,0.2250099557522124,0.7692105923660264,0.06729369469026548,0.3557421084747795
