condition,seed,ap25,ap50,ap75,recall25_top300,recall50_top300,recall25_top1000,recall50_top1000,eval_json
scratch,1,0.082060151,0.009594358,0.000000000,0.764705896,0.169117644,0.875000000,0.205882356,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_scratch_p10_seed1_rpn200_eval/eval.json
scratch,2,0.072777972,0.000968301,0.000000000,0.713235319,0.132352948,0.889705896,0.176470593,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_scratch_p10_seed2_rpn200_eval/eval.json
scratch,3,0.152512580,0.011083114,0.000018521,0.772058845,0.139705881,0.889705896,0.169117644,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_scratch_p10_seed3_rpn200_eval/eval.json
joint_e300,1,0.079960197,0.005794637,0.000000000,0.852941155,0.154411763,0.933823526,0.205882356,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_joint_e300_p10_seed1_rpn200_eval/eval.json
joint_e300,2,0.031464756,0.001177101,0.000000000,0.698529422,0.161764711,0.860294104,0.183823526,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_joint_e300_p10_seed2_rpn200_eval/eval.json
joint_e300,3,0.120931029,0.005649087,0.000000698,0.845588207,0.147058830,0.904411793,0.198529407,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_joint_e300_p10_seed3_rpn200_eval/eval.json
cosine_e300,1,0.055827215,0.000829618,0.000000000,0.808823526,0.110294119,0.897058845,0.139705881,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_cosine_e300_p10_seed1_rpn200_eval/eval.json
cosine_e300,2,0.092154272,0.006818444,0.000000000,0.757352948,0.110294119,0.904411793,0.169117644,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_cosine_e300_p10_seed2_rpn200_eval/eval.json
cosine_e300,3,0.078929745,0.003646774,0.000000000,0.830882370,0.147058830,0.926470578,0.176470593,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_cosine_e300_p10_seed3_rpn200_eval/eval.json
summary,scratch,0.102450234±0.043602965,0.007215258±0.005460993,0.000006174±0.000010693,0.750000020±0.032050724,0.147058825±0.019454050,0.884803931±0.008490453,0.183823531±0.019454055,
summary,joint_e300,0.077451994±0.044785844,0.004206942±0.002624928,0.000000233±0.000000403,0.799019595±0.087104664,0.154411768±0.007352941,0.899509807±0.037009000,0.196078430±0.011231806,
summary,cosine_e300,0.075637077±0.018386000,0.003764946±0.002996162,0.000000000±0.000000000,0.799019615±0.037732367,0.122549022±0.021226116,0.909313738±0.015306349,0.161764706±0.019454055,
