job_id,job_name,condition,seed,percent_train,batch_size,mae_backbone_arch,checkpoint,save_name,expected_eval
1940120.pbs1,anc_b8_s_p25_s1,scratch,1,0.25,8,1,,front3d_anchor_b8_maearch_scratch_p25_seed1_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_scratch_p25_seed1_rpn200_eval/eval.json
1940121.pbs1,anc_b8_j_p25_s1,joint_e300,1,0.25,8,1,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_b8_maearch_joint_e300_p25_seed1_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_joint_e300_p25_seed1_rpn200_eval/eval.json
1940122.pbs1,anc_b8_c_p25_s1,cosine_e300,1,0.25,8,1,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_b8_maearch_cosine_e300_p25_seed1_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_cosine_e300_p25_seed1_rpn200_eval/eval.json
1940123.pbs1,anc_b8_s_p25_s2,scratch,2,0.25,8,1,,front3d_anchor_b8_maearch_scratch_p25_seed2_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_scratch_p25_seed2_rpn200_eval/eval.json
1940124.pbs1,anc_b8_j_p25_s2,joint_e300,2,0.25,8,1,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_b8_maearch_joint_e300_p25_seed2_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_joint_e300_p25_seed2_rpn200_eval/eval.json
1940125.pbs1,anc_b8_c_p25_s2,cosine_e300,2,0.25,8,1,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_b8_maearch_cosine_e300_p25_seed2_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_cosine_e300_p25_seed2_rpn200_eval/eval.json
1940126.pbs1,anc_b8_s_p25_s3,scratch,3,0.25,8,1,,front3d_anchor_b8_maearch_scratch_p25_seed3_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_scratch_p25_seed3_rpn200_eval/eval.json
1940127.pbs1,anc_b8_j_p25_s3,joint_e300,3,0.25,8,1,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_b8_maearch_joint_e300_p25_seed3_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_joint_e300_p25_seed3_rpn200_eval/eval.json
1940128.pbs1,anc_b8_c_p25_s3,cosine_e300,3,0.25,8,1,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_b8_maearch_cosine_e300_p25_seed3_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_cosine_e300_p25_seed3_rpn200_eval/eval.json
1940129.pbs1,anc_b8_s_p50_s1,scratch,1,0.50,8,1,,front3d_anchor_b8_maearch_scratch_p50_seed1_rpn200,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_b8_maearch_scratch_p50_seed1_rpn200_eval/eval.json
