job_id,job_name,condition,seed,percent_train,epochs,lr,batch_size,mae_init_mode,checkpoint,save_name,expected_eval
1941404.pbs1,ancd_s25_s1,scratch,1,0.25,1000,1e-4,8,direct,,front3d_anchor_fcosp_maearch_scratch_p25_seed1_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p25_seed1_rpn1000_direct_eval/eval.json
1941405.pbs1,ancd_j25_s1,joint_e300,1,0.25,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_joint_e300_p25_seed1_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p25_seed1_rpn1000_direct_eval/eval.json
1941406.pbs1,ancd_c25_s1,cosine_e300,1,0.25,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_cosine_e300_p25_seed1_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p25_seed1_rpn1000_direct_eval/eval.json
1941407.pbs1,ancd_s25_s2,scratch,2,0.25,1000,1e-4,8,direct,,front3d_anchor_fcosp_maearch_scratch_p25_seed2_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p25_seed2_rpn1000_direct_eval/eval.json
1941408.pbs1,ancd_j25_s2,joint_e300,2,0.25,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_joint_e300_p25_seed2_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p25_seed2_rpn1000_direct_eval/eval.json
1941409.pbs1,ancd_c25_s2,cosine_e300,2,0.25,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_cosine_e300_p25_seed2_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p25_seed2_rpn1000_direct_eval/eval.json
1941410.pbs1,ancd_s25_s3,scratch,3,0.25,1000,1e-4,8,direct,,front3d_anchor_fcosp_maearch_scratch_p25_seed3_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p25_seed3_rpn1000_direct_eval/eval.json
1941411.pbs1,ancd_j25_s3,joint_e300,3,0.25,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_joint_e300_p25_seed3_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p25_seed3_rpn1000_direct_eval/eval.json
1941412.pbs1,ancd_c25_s3,cosine_e300,3,0.25,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_cosine_e300_p25_seed3_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p25_seed3_rpn1000_direct_eval/eval.json
1941413.pbs1,ancd_s50_s2,scratch,2,0.50,1000,1e-4,8,direct,,front3d_anchor_fcosp_maearch_scratch_p50_seed2_rpn1000_direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p50_seed2_rpn1000_direct_eval/eval.json
