type,condition,percent_train,seed,ap25,ap50,ap75,r25,r50,eval
seed,cosine_e300,0.25,1,0.38777291774749756,0.09577205777168274,0.0,0.9558823704719543,0.4485294222831726,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p25_seed1_rpn1000_direct_eval/eval.json
seed,cosine_e300,0.25,2,0.27981993556022644,0.04124091565608978,0.0003196930920239538,0.9558823704719543,0.3897058963775635,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p25_seed2_rpn1000_direct_eval/eval.json
seed,cosine_e300,0.25,3,0.28249698877334595,0.042061738669872284,0.0,0.9485294222831726,0.3970588147640228,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p25_seed3_rpn1000_direct_eval/eval.json
seed,joint_e300,0.25,1,0.3381858468055725,0.06400292366743088,0.0010504202218726277,0.9558823704719543,0.3382352888584137,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p25_seed1_rpn1000_direct_eval/eval.json
seed,joint_e300,0.25,2,0.3407650589942932,0.07074137032032013,0.0009932920802384615,0.9485294222831726,0.3970588147640228,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p25_seed2_rpn1000_direct_eval/eval.json
seed,joint_e300,0.25,3,0.37492772936820984,0.06763547658920288,5.612932363874279e-05,0.9411764740943909,0.3382352888584137,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p25_seed3_rpn1000_direct_eval/eval.json
seed,scratch,0.25,1,0.3803275227546692,0.0709831491112709,0.002661064499989152,0.9558823704719543,0.3897058963775635,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p25_seed1_rpn1000_direct_eval/eval.json
seed,scratch,0.25,2,0.3548790216445923,0.09179731458425522,0.0006535947904922068,0.9338235259056091,0.44117647409439087,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p25_seed2_rpn1000_direct_eval/eval.json
seed,scratch,0.25,3,0.3113288879394531,0.06361693143844604,5.11409598402679e-05,0.9485294222831726,0.375,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p25_seed3_rpn1000_direct_eval/eval.json
seed,cosine_e300,0.5,1,0.49474090337753296,0.1937674582004547,0.00165091035887599,0.9779411554336548,0.6102941036224365,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p50_seed1_rpn1000_retry1_eval/eval.json
seed,cosine_e300,0.5,2,0.5522453784942627,0.2090567648410797,0.0010662457207217813,0.9632353186607361,0.5441176295280457,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p50_seed2_rpn1000_direct_eval/eval.json
seed,cosine_e300,0.5,3,0.5215620994567871,0.1984432339668274,0.025757113471627235,0.970588207244873,0.5808823704719543,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p50_seed3_rpn1000_direct_eval/eval.json
seed,joint_e300,0.5,1,0.48982077836990356,0.16825833916664124,0.001981474459171295,0.970588207244873,0.5441176295280457,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p50_seed1_rpn1000_retry1_eval/eval.json
seed,joint_e300,0.5,2,0.5031337141990662,0.1963118463754654,0.004543399438261986,0.9558823704719543,0.529411792755127,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p50_seed2_rpn1000_direct_eval/eval.json
