role,labels,pretrain_seed,finetune_seed,job_id,dependency,log_path,expected_eval_json
pretrain,na,1,na,1930716.pbs1,none,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/pretrain/e300_w05_s1_pre.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05/epoch_300.pt
fcos,100%,1,1,1930717.pbs1,1930716.pbs1,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_full/e300_w05_s1_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_seed1_fcos1000_eval/eval.json
fcos,100%,1,2,1930718.pbs1,1930716.pbs1,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_full/e300_w05_pre1_ft2_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed2_fcos1000_eval/eval.json
fcos,100%,1,3,1930719.pbs1,1930716.pbs1,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_full/e300_w05_pre1_ft3_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed3_fcos1000_eval/eval.json
fcos,10%,1,1,1930720.pbs1,1930716.pbs1,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_pt10/e300_w05_s1_pt10_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_seed1_pt10_fcos1000_eval/eval.json
fcos,10%,1,2,1930721.pbs1,1930716.pbs1,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_pt10/e300_w05_pre1_ft2_pt10_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed2_pt10_fcos1000_eval/eval.json
fcos,10%,1,3,1930722.pbs1,1930716.pbs1,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_pt10/e300_w05_pre1_ft3_pt10_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed3_pt10_fcos1000_eval/eval.json
fcos_retry,100%,1,1,1934230.pbs1,none,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_full_retry_20260622_171718/e300_w05_s1_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_seed1_fcos1000_eval/eval.json
fcos_retry,100%,1,2,1934231.pbs1,none,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_full_retry_20260622_171718/e300_w05_pre1_ft2_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed2_fcos1000_eval/eval.json
fcos_retry,100%,1,3,1934232.pbs1,none,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_full_retry_20260622_171718/e300_w05_pre1_ft3_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed3_fcos1000_eval/eval.json
fcos_retry,10%,1,1,1934233.pbs1,none,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_pt10_retry_20260622_171720/e300_w05_s1_pt10_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_seed1_pt10_fcos1000_eval/eval.json
fcos_retry,10%,1,2,1934234.pbs1,none,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_pt10_retry_20260622_171720/e300_w05_pre1_ft2_pt10_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed2_pt10_fcos1000_eval/eval.json
fcos_retry,10%,1,3,1934235.pbs1,none,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/constant_w05_joint_20260622_043013/fcos_pt10_retry_20260622_171720/e300_w05_pre1_ft3_pt10_fcos.pbs.log,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_constant_rgb_half_p1.0_e300_seed1_abci3w05_epoch300_sched_epoch_preseed1_ftseed3_pt10_fcos1000_eval/eval.json
