condition,label_fraction,ap25,ap50,ap75,r50_top300,r25_top300,r50_top1000
scratch,0.10,0.4453,0.1160,0.0000,0.2794,0.8456,0.3088
baseline_e300,0.10,0.5344,0.1328,0.0001,0.3824,0.8897,0.4265
cosine_ramp_e300,0.10,0.5996,0.2751,0.0152,0.4485,0.8971,0.4706
surface_cosine_jitter_e300,0.10,0.5918,0.1756,0.0066,0.4118,0.9191,0.4412
scratch,0.25,0.6087,0.3044,0.0122,0.4779,0.9044,0.4779
baseline_e300,0.25,0.6550,0.2777,0.0057,0.5147,0.9485,0.5221
cosine_ramp_e300,0.25,0.7008,0.3639,0.0095,0.5882,0.9412,0.6029
surface_cosine_jitter_e300,0.25,0.7123,0.3460,0.0200,0.5368,0.9485,0.5441
scratch,0.50,0.7065,0.3666,0.0513,0.5956,0.9338,0.5956
baseline_e300,0.50,0.7671,0.4191,0.0241,0.6471,0.9559,0.6544
cosine_ramp_e300,0.50,0.7690,0.5026,0.0516,0.6691,0.9412,0.6765
surface_cosine_jitter_e300,0.50,0.7811,0.5217,0.0627,0.6765,0.9559,0.6838
scratch,1.00,0.7952,0.4722,0.0703,0.6176,0.9485,0.6324
baseline_e300,1.00,0.7956,0.4695,0.0869,0.6618,0.9559,0.6691
cosine_ramp_e300,1.00,0.8249,0.5539,0.1135,0.7059,0.9632,0.7059
surface_cosine_jitter_e300,1.00,0.8178,0.5984,0.1004,0.7059,0.9412,0.7279
boundary_sdf_aux_e100,1.00,0.8110,0.5142,0.1031,0.6618,0.9412,0.6691
baseline_coord_jitter_e100,1.00,0.8197,0.5564,0.1015,0.6765,0.9559,0.6912
cosine_coord_jitter_e100,1.00,0.8097,0.6219,0.1031,0.7279,0.9485,0.7279
