job_id,percent_train,label_tag,condition,mode,checkpoint,save_name,status_at_submission
1815787.pbs1,0.25,pt25,scratch,scratch,,front3d_scratch_lowlabel_pt25_seed1_fcos1000,running
1815788.pbs1,0.25,pt25,baseline_e300,probe,output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,baseline_e300_lowlabel_pt25_seed1_fcos1000,running
1815789.pbs1,0.25,pt25,cosine_ramp_e300,probe,output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,cosine_ramp_e300_lowlabel_pt25_seed1_fcos1000,running
1815790.pbs1,0.25,pt25,surface_cosine_jitter_e300,probe,output/nerf_mae/results/nerfmae_surface_maturation_cosine_coord_jitter_tau0p7_k30_w0p05_p1.0_e300_seed1_abci3smcos_cj_det0_1n8g/epoch_300.pt,surface_cosine_jitter_e300_lowlabel_pt25_seed1_fcos1000,running
1815791.pbs1,0.10,pt10,scratch,scratch,,front3d_scratch_lowlabel_pt10_seed1_fcos1000,running
1815792.pbs1,0.10,pt10,baseline_e300,probe,output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,baseline_e300_lowlabel_pt10_seed1_fcos1000,running
1815793.pbs1,0.10,pt10,cosine_ramp_e300,probe,output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,cosine_ramp_e300_lowlabel_pt10_seed1_fcos1000,running
1815794.pbs1,0.10,pt10,surface_cosine_jitter_e300,probe,output/nerf_mae/results/nerfmae_surface_maturation_cosine_coord_jitter_tau0p7_k30_w0p05_p1.0_e300_seed1_abci3smcos_cj_det0_1n8g/epoch_300.pt,surface_cosine_jitter_e300_lowlabel_pt10_seed1_fcos1000,running
1815795.pbs1,1.00,pt100,scratch,scratch,,front3d_scratch_lowlabel_pt100_seed1_fcos1000,running
1815796.pbs1,1.00,pt100,baseline_e300,probe,output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,baseline_e300_lowlabel_pt100_seed1_fcos1000,running
1815797.pbs1,1.00,pt100,cosine_ramp_e300,probe,output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,cosine_ramp_e300_lowlabel_pt100_seed1_fcos1000,running
1815798.pbs1,1.00,pt100,surface_cosine_jitter_e300,probe,output/nerf_mae/results/nerfmae_surface_maturation_cosine_coord_jitter_tau0p7_k30_w0p05_p1.0_e300_seed1_abci3smcos_cj_det0_1n8g/epoch_300.pt,surface_cosine_jitter_e300_lowlabel_pt100_seed1_fcos1000,running
