job,stage,dataset,arm,percent_train,finetune_seed,save_name,checkpoint,log
1929273.pbs1,fcos,scannet,scratch,0.10,1,scannet_scratch_lowlabel_pt10_seed1_fcos1000,,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/scannet_scratch_pt10_seed1.pbs.log
1929274.pbs1,fcos,scannet,baseline_e300,0.10,1,baseline_e300_scannet_lowlabel_pt10_seed1_fcos1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/baseline_e300_scannet_pt10_seed1.pbs.log
1929275.pbs1,fcos,scannet,cosine_ramp_e300,0.10,1,cosine_ramp_e300_scannet_lowlabel_pt10_seed1_fcos1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/cosine_ramp_e300_scannet_pt10_seed1.pbs.log
1929276.pbs1,fcos,scannet,scratch,0.10,2,scannet_scratch_lowlabel_pt10_seed2_fcos1000,,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/scannet_scratch_pt10_seed2.pbs.log
1929277.pbs1,fcos,scannet,baseline_e300,0.10,2,baseline_e300_scannet_lowlabel_pt10_seed2_fcos1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/baseline_e300_scannet_pt10_seed2.pbs.log
1929278.pbs1,fcos,scannet,cosine_ramp_e300,0.10,2,cosine_ramp_e300_scannet_lowlabel_pt10_seed2_fcos1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/cosine_ramp_e300_scannet_pt10_seed2.pbs.log
1929279.pbs1,fcos,scannet,scratch,0.10,3,scannet_scratch_lowlabel_pt10_seed3_fcos1000,,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/scannet_scratch_pt10_seed3.pbs.log
1929280.pbs1,fcos,scannet,baseline_e300,0.10,3,baseline_e300_scannet_lowlabel_pt10_seed3_fcos1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/baseline_e300_scannet_pt10_seed3.pbs.log
1929281.pbs1,fcos,scannet,cosine_ramp_e300,0.10,3,cosine_ramp_e300_scannet_lowlabel_pt10_seed3_fcos1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/cosine_ramp_e300_scannet_pt10_seed3.pbs.log
1929282.pbs1,fcos,scannet,scratch,1.0,1,scannet_scratch_lowlabel_pt100_seed1_fcos1000,,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/scannet_scratch_pt100_seed1.pbs.log
1929283.pbs1,fcos,scannet,scratch,1.0,2,scannet_scratch_lowlabel_pt100_seed2_fcos1000,,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/scannet_scratch_pt100_seed2.pbs.log
1929284.pbs1,fcos,scannet,scratch,1.0,3,scannet_scratch_lowlabel_pt100_seed3_fcos1000,,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/scannet_scratch_pt100_seed3.pbs.log
1929285.pbs1,fcos,scannet,baseline_e300,1.0,2,baseline_e300_scannet_fcos1000_seed2,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/baseline_e300_scannet_pt100_seed2.pbs.log
1929286.pbs1,fcos,scannet,cosine_ramp_e300,1.0,2,cosine_ramp_e300_scannet_fcos1000_seed2,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/cosine_ramp_e300_scannet_pt100_seed2.pbs.log
1929287.pbs1,fcos,scannet,baseline_e300,1.0,3,baseline_e300_scannet_fcos1000_seed3,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/baseline_e300_scannet_pt100_seed3.pbs.log
1929288.pbs1,fcos,scannet,cosine_ramp_e300,1.0,3,cosine_ramp_e300_scannet_fcos1000_seed3,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,/groups/gag51404/ide/vgi/NeRF-MAE/output/launcher/scannet_label_efficiency_20260621_124531/cosine_ramp_e300_scannet_pt100_seed3.pbs.log
